anchor_prediction,challenger_prediction,root_id,status,trigger_count,wins,regressions,triggered_cases,net_gain
Chronic rhinosinusitis,Acute rhinosinusitis,E_103,present,3,3,0,"['nb38_196::test:21703', 'nb38_196::test:52366', 'nb38_196::test:93342']",3
Chronic rhinosinusitis,Acute rhinosinusitis,E_181,absent,2,2,0,"['nb38_196::test:21703', 'nb38_196::test:52366']",2
Bronchitis,Bronchiolitis,E_169,absent,2,1,0,"['nb37_98::test:37106', 'nb37_98::test:85739']",1
Bronchitis,Bronchiolitis,E_41,absent,2,1,0,"['nb37_98::test:37106', 'nb37_98::test:85739']",1
Bronchitis,Bronchiolitis,E_97,absent,2,1,0,"['nb37_98::test:37106', 'nb37_98::test:85739']",1
Acute dystonic reactions,Pulmonary embolism,E_0,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_104,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_124,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_129,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_142,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_146,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_148,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_15,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_151,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_155,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_175,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_194,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_198,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_201,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_203,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_21,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_211,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_25,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_65,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_66,present,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_70,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_79,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_82,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_84,absent,1,1,0,['nb37_98::test:130885'],1
Acute dystonic reactions,Pulmonary embolism,E_91,absent,1,1,0,['nb37_98::test:130885'],1
Acute otitis media,Acute laryngitis,E_0,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_1,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_114,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_124,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_142,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_146,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_148,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_155,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_157,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_166,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_181,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_194,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_201,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_203,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_209,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_211,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_212,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_216,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_218,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_225,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_25,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_3,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_4,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_41,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_45,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_62,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_63,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_65,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_70,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_76,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_84,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_9,absent,1,1,0,['nb38_196::test:105339'],1
Acute otitis media,Acute laryngitis,E_91,present,1,1,0,['nb38_196::test:105339'],1
Bronchiectasis,Pneumonia,E_45,present,1,1,0,['nb38_196::test:93816'],1
Bronchiectasis,Pneumonia,E_61,absent,1,1,0,['nb38_196::test:93816'],1
Bronchiectasis,Pneumonia,E_79,absent,1,1,0,['nb38_196::test:93816'],1
Bronchitis,Bronchiolitis,E_114,absent,1,1,0,['nb37_98::test:37106'],1
Bronchitis,Bronchiolitis,E_148,absent,1,1,0,['nb37_98::test:37106'],1
Bronchitis,Bronchiolitis,E_15,absent,1,1,0,['nb37_98::test:37106'],1
Bronchitis,Bronchiolitis,E_212,absent,1,1,0,['nb37_98::test:37106'],1
Bronchitis,Bronchiolitis,E_218,absent,1,1,0,['nb37_98::test:37106'],1
Bronchitis,Bronchiolitis,E_220,absent,1,1,0,['nb37_98::test:37106'],1
Bronchitis,Bronchiolitis,E_65,absent,1,1,0,['nb37_98::test:37106'],1
Bronchitis,Bronchiolitis,E_82,absent,1,1,0,['nb37_98::test:37106'],1
Larygospasm,Epiglottitis,E_116,absent,1,1,0,['nb38_196::test:132876'],1
Myocarditis,Atrial fibrillation,E_124,absent,1,1,0,['nb37_98::test:92249'],1
Myocarditis,Atrial fibrillation,E_51,absent,1,1,0,['nb37_98::test:92249'],1
Myocarditis,Atrial fibrillation,E_65,absent,1,1,0,['nb37_98::test:92249'],1
Spontaneous pneumothorax,Atrial fibrillation,E_0,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_106,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_120,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_124,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_129,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_13,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_143,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_146,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_148,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_15,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_151,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_155,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_157,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_164,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_166,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_169,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_175,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_181,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_194,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_198,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_201,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_203,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_208,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_21,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_212,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_217,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_218,present,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_220,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_225,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_24,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_25,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_49,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_62,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_63,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_65,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_66,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_70,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_77,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_78,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_79,absent,1,1,0,['nb38_196::test:23690'],1
Spontaneous pneumothorax,Atrial fibrillation,E_91,absent,1,1,0,['nb38_196::test:23690'],1
Bronchitis,Bronchiolitis,E_124,absent,3,1,1,"['nb37_98::test:37106', 'nb37_98::test:45547', 'nb37_98::test:85739']",0
Bronchitis,Bronchiolitis,E_142,absent,3,1,1,"['nb37_98::test:37106', 'nb37_98::test:45547', 'nb37_98::test:85739']",0
Bronchitis,Bronchiolitis,E_181,present,3,1,1,"['nb37_98::test:37106', 'nb37_98::test:45547', 'nb37_98::test:85739']",0
Bronchitis,Bronchiolitis,E_194,absent,3,1,1,"['nb37_98::test:37106', 'nb37_98::test:45547', 'nb37_98::test:85739']",0
