root_evidence_id,question_en,data_type,num_outcome_states,global_present_rate,root_mi,root_mi_norm
E_55,Do you feel pain somewhere?,M,3053,0.74305,2.820685695839275,1.0
E_54,Characterize your pain:,M,368,0.74305,2.2945800371284797,0.8134830621196679
E_57,Does the pain radiate to another location?,M,572,0.74305,1.394073342247515,0.4942320742448826
E_59,How fast did the pain appear?,C,12,0.74305,0.8975264855189402,0.31819443295042044
E_56,How intense is the pain?,C,12,0.74305,0.855069021360366,0.3031422546020131
E_58,How precisely is the pain located?,C,12,0.74305,0.8375519003439948,0.2969320196076604
E_133,Where is the affected region located?,M,747,0.18230000000000002,0.8164132094822883,0.28943785218131873
E_130,What color is the rash?,C,6,0.18230000000000002,0.691850237286598,0.24527732327892096
E_136,How severe is the itching?,C,12,0.18230000000000002,0.6324272868982547,0.22421047755555779
E_135,Is the lesion (or are the lesions) larger than 1cm?,C,3,0.18230000000000002,0.5585079042252667,0.19800430265913999
E_53,"Do you have pain somewhere, related to your reason for consulting?",B,2,0.73285,0.5543556208589006,0.19653221969275664
E_131,Do your lesions peel off?,C,3,0.18230000000000002,0.5449403682590501,0.193194289269052
E_134,How intense is the pain caused by the rash?,C,10,0.17064999999999997,0.5367499515463799,0.19029059222660885
E_132,Is the rash swollen?,C,9,0.18230000000000002,0.5296959743074781,0.18778978993966597
E_152,Where is the swelling located?,M,176,0.1058,0.4940541949145193,0.17515393354292774
E_129,"Do you have any lesions, redness or problems on your skin that you believe are related to the condition you are consulting for?",B,2,0.1521,0.3985186246967102,0.14128430731738573
E_201,Do you have a cough?,B,2,0.3155,0.3752443176943271,0.13303301330163828
E_79,Do you smoke cigarettes?,B,2,0.27725,0.33612393598632506,0.11916390985430717
E_181,Do you have nasal congestion or a clear runny nose?,B,2,0.20235000000000003,0.32379510686299207,0.11479304742836621
E_124,Do you have asthma or have you ever had to use a bronchodilator in the past?,B,2,0.15359999999999996,0.3178602128078242,0.11268898668032815
E_66,Are you experiencing shortness of breath or difficulty breathing in a significant way?,B,2,0.3871,0.3085769534239487,0.10939785098322831
E_151,Do you have swelling in one or more areas of your body?,B,2,0.09360000000000002,0.29985259437856016,0.1063048587160439
E_91,Do you have a fever (either felt or measured with a thermometer)?,B,2,0.19689999999999996,0.29189325374769565,0.10348308362688557
E_78,Do you drink alcohol excessively or do you have an addiction to alcohol?,B,2,0.11380000000000001,0.23631368802707112,0.0837788089526074
E_70,Are you significantly overweight compared to people of the same height as you?,B,2,0.10594999999999999,0.23456286878997465,0.08315810199483502
E_50,Have you had significantly increased sweating?,B,2,0.11709999999999998,0.2334287309305749,0.08275602321623424
E_226,Are you more likely to develop common allergies than the general population?,B,2,0.08725000000000005,0.2283746048706317,0.08096421561874174
E_77,Do you have a cough that produces colored or more abundant sputum than usual?,B,2,0.09140000000000004,0.22593996919882112,0.08010107951130453
E_41,Have you been in contact with a person with similar symptoms in the past 2 weeks?,B,2,0.08440000000000003,0.22331851779477968,0.07917171279458445
E_45,Have you been coughing up blood?,B,2,0.09704999999999997,0.22037056673411698,0.0781265942033812
E_69,Do you have diabetes?,B,2,0.08699999999999997,0.217679488990172,0.077172543297279
E_105,Have you ever had a heart attack or do you have angina (chest pain)?,B,2,0.07445000000000002,0.2152456235645479,0.07630968026038898
E_48,Do you live with 4 or more people?,B,2,0.09019999999999995,0.2151106004115379,0.07626181134921992
E_97,Do you have a sore throat?,B,2,0.08684999999999998,0.2126186609335106,0.0753783596829449
E_148,Are you feeling nauseous or do you feel like vomiting?,B,2,0.09940000000000004,0.21056475306559966,0.07465020061476492
E_49,Do you attend or work in a daycare?,B,2,0.08830000000000005,0.20941972124540525,0.07424425966860299
E_155,"Do you feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations?",B,2,0.07565,0.20858102745888893,0.07394692282325596
E_104,Do you have high blood pressure or do you take medications to treat high blood pressure?,B,2,0.0776,0.20581601211656553,0.0729666592843576
E_144,Do you have diffuse (widespread) muscle pain?,B,2,0.08545000000000003,0.2035798521572457,0.07217388752583861
E_82,Do you feel lightheaded and dizzy or do you feel like you are about to faint?,B,2,0.08279999999999998,0.20111296538420034,0.07129931763785564
E_123,Do you have a chronic obstructive pulmonary disease (COPD)?,B,2,0.06899999999999995,0.19908272765205515,0.07057955019437906
E_214,Have you noticed a wheezing sound when you exhale?,B,2,0.07050000000000001,0.1962349700878534,0.06956995257476394
E_89,Do you constantly feel fatigued or do you have non-restful sleep?,B,2,0.08645000000000003,0.19395296495556213,0.06876092761474893
E_222,Are you exposed to secondhand cigarette smoke on a daily basis?,B,2,0.0746,0.1922692482279416,0.06816401008859417
E_218,Do you have symptoms that are increased with physical exertion but alleviated with rest?,B,2,0.06674999999999998,0.18770858533914828,0.06654714689269799
E_220,Do you have pain that is increased when you breathe in deeply?,B,2,0.060899999999999954,0.1813321710512028,0.06428655674706384
E_208,"Is your BMI less than 18.5, or are you underweight?",B,2,0.06205000000000005,0.17977254004451224,0.06373363055291496
E_88,Do you feel so tired that you are unable to do your usual activities or are you stuck in your bed all day long?,B,2,0.06484999999999996,0.17874239839320477,0.06336842089739503
E_116,Have you had a cold in the last 2 weeks?,B,2,0.06364999999999998,0.17708113172543194,0.0627794624500844
E_106,Do you have heart failure?,B,2,0.05435000000000001,0.1759901806801745,0.06239269442170509
E_118,Have you ever had pneumonia?,B,2,0.05554999999999999,0.17212463297280256,0.06102226604924448
E_194,Have you noticed a high pitched sound when breathing in?,B,2,0.04949999999999999,0.1695798996366703,0.06012009770773592
E_227,Are you immunosuppressed?,B,2,0.060899999999999954,0.16479476115165584,0.058423652587291305
E_76,Do you feel slightly dizzy or lightheaded?,B,2,0.05545,0.15804528922313418,0.05603080465727286
E_162,Have you had an involuntary weight loss over the last 3 months?,B,2,0.050350000000000006,0.15413682043794102,0.05464515974442119
E_125,Have you ever been diagnosed with gastroesophageal reflux?,B,2,0.04830000000000001,0.15374161671863346,0.05450505064971045
E_217,Are your symptoms worse when lying down and alleviated while sitting up?,B,2,0.04954999999999998,0.1528568625708584,0.0541913843135142
E_161,Have you recently had a loss of appetite or do you get full more quickly then usually?,B,2,0.05135000000000001,0.14952378596381857,0.053009729579008916
E_209,Are your vaccinations up to date?,B,2,0.05784999999999996,0.14773441483883018,0.05237535506233453
E_51,Have you had diarrhea or an increase in stool frequency?,B,2,0.05305000000000004,0.1429024793923302,0.05066231930878445
E_62,Do you regularly take stimulant drugs?,B,2,0.042300000000000004,0.13773858578170717,0.0488315965103386
E_225,Do you have close family members who had a cardiovascular disease problem before the age of 50?,B,2,0.04095000000000004,0.13773829327305556,0.04883149280908183
E_0,Have you recently had a viral infection?,B,2,0.04035,0.13625888538377198,0.04830700761334882
E_71,Do you have high cholesterol or do you take medications to treat high cholesterol?,B,2,0.04069999999999996,0.1359827768464763,0.04820912058619689
E_196,Have you had surgery within the last month?,B,2,0.03639999999999999,0.13520053844132707,0.04793179851294956
E_24,Have you ever had a diagnosis of anemia?,B,2,0.03705000000000003,0.13350047406311052,0.047329085356810165
E_146,Are you taking any new oral anticoagulants ((NOACs)?,B,2,0.036900000000000044,0.13282230959570776,0.04708865996365023
E_175,"Have you noticed any new fatigue, generalized and vague discomfort, diffuse (widespread) muscle aches or a change in your general well-being related to your consultation today?",B,2,0.040100000000000025,0.1300791493789794,0.04611614458528861
E_169,Is your nose or the back of your throat itchy?,B,2,0.03310000000000002,0.12850437456499517,0.04555784955216699
E_9,Do you have swollen or painful lymph nodes?,B,2,0.03815000000000002,0.12848909762813218,0.04555243351560343
E_157,"Have you recently had numbness, loss of sensation or tingling, in both arms and legs and around your mouth?",B,2,0.03620000000000001,0.12832396454168424,0.04549388991867183
E_120,Do you have polyps in your nose?,B,2,0.030399999999999983,0.126705860883771,0.0449202337823997
E_7,Do you have a poor diet?,B,2,0.03534999999999999,0.12593297740889514,0.044646228253880184
E_113,Do you have chronic kidney failure?,B,2,0.03500000000000003,0.12440543183134989,0.04410467710559078
E_212,"Have you noticed that the tone of your voice has become deeper, softer or hoarse?",B,2,0.031749999999999945,0.1235443209809929,0.04379939287926695
E_204,Have you traveled out of the country in the last 4 weeks?,C,12,1.0,0.1207634731654849,0.042813516352998904
E_207,Do you live in in a big city?,B,2,0.03744999999999998,0.11977168041121564,0.04246190229130737
E_26,Do you have any family members who have been diagnosed with anemia?,B,2,0.033399999999999985,0.11754212408228151,0.041671471676431385
E_94,Have you had chills or shivers?,B,2,0.033299999999999996,0.11558674542121489,0.04097824354968513
E_170,Do you have severe itching in one or both eyes?,B,2,0.030399999999999983,0.11532941891249666,0.040887015197267916
E_84,Do you feel weakness in both arms and/or both legs?,B,2,0.03264999999999996,0.1151774170493694,0.04083312693054203
E_172,Do you have a hard time opening/raising one or both eyelids?,B,2,0.03315000000000001,0.11512447473406087,0.040814357623707664
E_87,Do you have any family members who have asthma?,B,2,0.03600000000000003,0.11485923391062092,0.040720323458954315
E_159,Did you lose consciousness?,B,2,0.03344999999999998,0.11413152410795695,0.04046233306898021
E_22,Do you have a known issue with one of your heart valves?,B,2,0.03249999999999997,0.11361778275359383,0.0402801995703345
E_109,Have you ever had deep vein thrombosis (DVT)?,B,2,0.033050000000000024,0.11024410263515963,0.039084149927720774
E_86,"Do you have any close family members who suffer from allergies (any type), hay fever or eczema?",B,2,0.02915000000000001,0.10952914004645305,0.038830678727522466
E_65,"Do you have difficulty swallowing, or have a feeling of discomfort/blockage when swallowing?",B,2,0.028349999999999986,0.10885735712398231,0.03859251574344322
E_31,Do you have severe Chronic Obstructive Pulmonary Disease (COPD)?,B,2,0.027549999999999963,0.1037360159577852,0.036776878796103966
E_16,Do you feel anxious?,B,2,0.028449999999999975,0.10367407309304269,0.03675491858095703
E_140,Have you recently had stools that were black (like coal)?,B,2,0.03374999999999995,0.10124699924269173,0.03589446331863161
E_103,Have you lost your sense of smell?,B,2,0.025499999999999967,0.10122202888252292,0.035885610733529465
E_3,Have you ever had a pericarditis?,B,2,0.025050000000000017,0.10090151787395742,0.035771981976862856
E_176,"Did you previously, or do you currently, have any weakness/paralysis in one or more of your limbs or in your face?",B,2,0.02949999999999997,0.10068283482056346,0.03569445364617485
E_219,Are your symptoms more prominent at night?,B,2,0.03005000000000002,0.1002648573627203,0.03554627072084584
E_44,Do you take corticosteroids?,B,2,0.028249999999999997,0.09898135398724235,0.03509123832309546
E_179,Have you noticed light red blood or blood clots in your stool?,B,2,0.028850000000000042,0.09894767200309162,0.03507929726060827
E_177,"Do you currently, or did you ever, have numbness, loss of sensitivity or tingling anywhere on your body?",B,2,0.028000000000000025,0.09465131207619812,0.03355613573529868
E_154,Is your skin much paler than usual?,B,2,0.02749999999999997,0.09365490086122863,0.03320288431971584
E_143,"Do you exercise regularly, 4 times per week or more?",B,2,0.024950000000000028,0.09152702732863136,0.032448502668567664
E_61,Are you currently using intravenous drugs?,B,2,0.02585000000000004,0.09114307490495724,0.0323123824250962
E_182,Do you have greenish or yellowish nasal discharge?,B,2,0.023050000000000015,0.08967679460158026,0.031792551270019315
E_137,Have you ever had surgery to remove lymph nodes?,B,2,0.021299999999999986,0.08815675115117955,0.031253659803790766
E_12,Do you have a known severe food allergy?,B,2,0.020549999999999957,0.08803744165861267,0.031211361758055695
E_121,Do you have a deviated nasal septum?,B,2,0.022599999999999953,0.08725557057689533,0.030934169909679725
E_203,Do you have intense coughing fits?,B,2,0.022150000000000003,0.08645605076615341,0.030650721168148095
E_191,Are you a former smoker?,B,2,0.02190000000000003,0.08620143363860332,0.030560453355635106
E_15,Have you started or taken any antipsychotic medication within the last 7 days?,B,2,0.020199999999999996,0.08316991485251665,0.02948570802312309
E_42,Have you been in contact with or ate something that you have an allergy to?,B,2,0.019499999999999962,0.08253989366883456,0.02926235056624251
E_2,Are you infected with the human immunodeficiency virus (HIV)?,B,2,0.02200000000000002,0.08197004376434286,0.029060325255399734
E_198,Do you work in agriculture?,B,2,0.022299999999999986,0.0818634635630395,0.029022540045420268
E_189,Have you had sexual intercourse with an HIV-positive partner in the past 12 months?,B,2,0.01924999999999999,0.0808349866554551,0.028657920581046242
E_187,Did you eat dark-fleshed fish (such as tuna) or Swiss cheese before the reaction occurred?,B,2,0.01585000000000003,0.08033962634763389,0.028482303599490336
E_92,Did your cheeks suddenly turn red?,B,2,0.015800000000000036,0.07992035015350772,0.028333660241336454
E_215,Do you have symptoms that get worse after eating?,B,2,0.018549999999999955,0.07926276051444958,0.028100529112962905
E_173,"Do you have a burning sensation that starts in your stomach then goes up into your throat, and can be associated with a bitter taste in your mouth?",B,2,0.01849999999999996,0.07900466857014085,0.02800902939546888
E_81,Do you suffer from chronic anxiety?,B,2,0.01815,0.07882409793692753,0.027945012821952848
E_14,Do you have chest pain even at rest?,B,2,0.02034999999999998,0.07881550939300519,0.027941967979368997
E_193,"Do you have annoying muscle spasms in your face, neck or any other part of your body?",B,2,0.01870000000000005,0.07592622652198125,0.026917648653296673
E_111,Do you feel like you are dying or were you afraid that you were about do die?,B,2,0.017549999999999955,0.07567911352078956,0.026830041231613283
E_115,Have you had unprotected sex with more than one partner in the last 6 months?,B,2,0.018199999999999994,0.07561727593354256,0.02680811833983622
E_147,"Have you been treated in hospital recently for nausea, agitation, intoxication or aggressive behavior and received medication via an intravenous or intramuscular route?",B,2,0.01859999999999995,0.07545308897976664,0.02674991016938387
E_197,Do you have a known kidney problem resulting in an inability to retain proteins?,B,2,0.018650000000000055,0.07529200317650371,0.02669280143036323
E_126,Do you have liver cirrhosis?,B,2,0.01859999999999995,0.07505755530529931,0.026609684097740803
E_164,Do you feel your heart is beating very irregularly or in a disorganized pattern?,B,2,0.016750000000000043,0.07485161105471119,0.02653667197487582
E_192,Do you feel that muscle spasms or soreness in your neck are keeping you from turning your head to one side?,B,2,0.018449999999999966,0.07474551468766534,0.026499058295619618
