min_score_margin_vs_current,min_top_score,min_augmented_signal_delta_vs_current,min_augmented_weighted_delta_vs_current,top1_count,top1,wins_vs_current,regressions_vs_current,changed_predictions
0.05,0.0,-1.0,-999.0,77,0.8555555555555555,4,0,5
0.05,0.04,-1.0,-999.0,77,0.8555555555555555,4,0,5
0.05,0.06,-1.0,-999.0,77,0.8555555555555555,4,0,5
0.05,0.08,-1.0,-999.0,77,0.8555555555555555,4,0,5
0.05,0.1,-1.0,-999.0,77,0.8555555555555555,4,0,5
0.05,0.12,-1.0,-999.0,77,0.8555555555555555,4,0,5
0.05,0.15,-1.0,-999.0,77,0.8555555555555555,4,0,5
0.05,0.2,-1.0,-999.0,77,0.8555555555555555,4,0,5
0.05,0.4,-1.0,-999.0,76,0.8444444444444444,3,0,3
0.05,0.4,0.0,-999.0,76,0.8444444444444444,3,0,3
0.08,0.4,-1.0,-999.0,76,0.8444444444444444,3,0,3
0.08,0.4,0.0,-999.0,76,0.8444444444444444,3,0,3
0.1,0.4,-1.0,-999.0,76,0.8444444444444444,3,0,3
0.1,0.4,0.0,-999.0,76,0.8444444444444444,3,0,3
0.15,0.4,-1.0,-999.0,76,0.8444444444444444,3,0,3
0.15,0.4,0.0,-999.0,76,0.8444444444444444,3,0,3
0.2,0.4,-1.0,-999.0,76,0.8444444444444444,3,0,3
0.2,0.4,0.0,-999.0,76,0.8444444444444444,3,0,3
0.05,0.0,0.0,-999.0,76,0.8444444444444444,3,0,4
0.05,0.04,0.0,-999.0,76,0.8444444444444444,3,0,4
0.05,0.06,0.0,-999.0,76,0.8444444444444444,3,0,4
0.05,0.08,0.0,-999.0,76,0.8444444444444444,3,0,4
0.05,0.1,0.0,-999.0,76,0.8444444444444444,3,0,4
0.05,0.12,0.0,-999.0,76,0.8444444444444444,3,0,4
0.05,0.15,0.0,-999.0,76,0.8444444444444444,3,0,4
0.05,0.2,0.0,-999.0,76,0.8444444444444444,3,0,4
0.05,0.25,-1.0,-999.0,76,0.8444444444444444,3,0,4
0.05,0.25,0.0,-999.0,76,0.8444444444444444,3,0,4
0.05,0.3,-1.0,-999.0,76,0.8444444444444444,3,0,4
0.05,0.3,0.0,-999.0,76,0.8444444444444444,3,0,4
0.08,0.0,-1.0,-999.0,76,0.8444444444444444,3,0,4
0.08,0.0,0.0,-999.0,76,0.8444444444444444,3,0,4
0.08,0.04,-1.0,-999.0,76,0.8444444444444444,3,0,4
0.08,0.04,0.0,-999.0,76,0.8444444444444444,3,0,4
0.08,0.06,-1.0,-999.0,76,0.8444444444444444,3,0,4
0.08,0.06,0.0,-999.0,76,0.8444444444444444,3,0,4
0.08,0.08,-1.0,-999.0,76,0.8444444444444444,3,0,4
0.08,0.08,0.0,-999.0,76,0.8444444444444444,3,0,4
0.08,0.1,-1.0,-999.0,76,0.8444444444444444,3,0,4
0.08,0.1,0.0,-999.0,76,0.8444444444444444,3,0,4
0.08,0.12,-1.0,-999.0,76,0.8444444444444444,3,0,4
0.08,0.12,0.0,-999.0,76,0.8444444444444444,3,0,4
0.08,0.15,-1.0,-999.0,76,0.8444444444444444,3,0,4
0.08,0.15,0.0,-999.0,76,0.8444444444444444,3,0,4
0.08,0.2,-1.0,-999.0,76,0.8444444444444444,3,0,4
0.08,0.2,0.0,-999.0,76,0.8444444444444444,3,0,4
0.08,0.25,-1.0,-999.0,76,0.8444444444444444,3,0,4
