PATHOLOGY,selected_cases
Acute COPD exacerbation / infection,4
Acute dystonic reactions,4
Acute laryngitis,4
Acute otitis media,4
Acute pulmonary edema,4
Acute rhinosinusitis,4
Allergic sinusitis,4
Anaphylaxis,4
Anemia,4
Atrial fibrillation,4
Boerhaave,4
Bronchiectasis,4
Bronchiolitis,4
Bronchitis,4
Bronchospasm / acute asthma exacerbation,4
Chagas,4
Chronic rhinosinusitis,4
Cluster headache,4
Croup,4
Ebola,4
Epiglottitis,4
GERD,4
Guillain-Barré syndrome,4
HIV (initial infection),4
Influenza,4
Inguinal hernia,4
Larygospasm,4
Localized edema,4
Myasthenia gravis,4
Myocarditis,4
PSVT,4
Pancreatic neoplasm,4
Panic attack,4
Pericarditis,4
Pneumonia,4
Possible NSTEMI / STEMI,4
Pulmonary embolism,4
Pulmonary neoplasm,4
SLE,4
Sarcoidosis,4
Scombroid food poisoning,4
Spontaneous pneumothorax,4
Spontaneous rib fracture,4
Stable angina,4
Tuberculosis,4
URTI,4
Unstable angina,4
Viral pharyngitis,4
Whooping cough,4
