threshold,cases_triggered,case_rate,base_incorrect_triggered,candidate_pool_misses_triggered,candidate_pool_miss_capture_rate,final_errors_triggered,final_error_capture_rate
0.0,196,1.0,24,2,1.0,12,1.0
0.05,39,0.1989795918367347,20,2,1.0,9,0.75
0.1,27,0.1377551020408163,18,2,1.0,8,0.6666666666666666
0.15,23,0.11734693877551021,16,2,1.0,6,0.5
0.2,23,0.11734693877551021,16,2,1.0,6,0.5
0.25,23,0.11734693877551021,16,2,1.0,6,0.5
0.3,23,0.11734693877551021,16,2,1.0,6,0.5
0.35,20,0.10204081632653061,14,2,1.0,4,0.3333333333333333
0.4,19,0.09693877551020408,13,2,1.0,4,0.3333333333333333
0.45,17,0.08673469387755102,13,2,1.0,4,0.3333333333333333
0.5,16,0.08163265306122448,12,2,1.0,4,0.3333333333333333
0.55,13,0.0663265306122449,11,2,1.0,4,0.3333333333333333
0.6,13,0.0663265306122449,11,2,1.0,4,0.3333333333333333
0.65,13,0.0663265306122449,11,2,1.0,4,0.3333333333333333
0.7,10,0.05102040816326531,9,2,1.0,4,0.3333333333333333
0.75,8,0.04081632653061224,8,2,1.0,4,0.3333333333333333
0.8,7,0.03571428571428571,7,2,1.0,4,0.3333333333333333
0.85,6,0.030612244897959183,6,1,0.5,3,0.25
0.9,3,0.015306122448979591,3,0,0.0,2,0.16666666666666666
0.95,3,0.015306122448979591,3,0,0.0,2,0.16666666666666666
