feature,importance_mean,importance_std
visible_root_count,0.014787886599277322,0.002301256070753044
anchor_graph_score,0.009508833810557227,0.0024265892322389293
anchor_bayes_posterior,0.007068921056544275,0.0034221929012206442
mlp_margin,0.006642589296380508,0.0014373731505764598
bayes_top_posterior,0.005750711599866232,0.0009082127713119781
anchor_mlp_posterior,0.0053629392704240275,0.0001017212399287426
ledger_disagrees_anchor,0.004080702615758769,0.0026727752321297205
mlp_entropy,0.0036463172635115004,0.000516773234029988
anchor_graph_rank,0.003146064834932516,0.003734519443380102
mlp_confidence,0.0030264877601764995,0.0017182006705515618
pair_missing_utility,0.002429047339220336,0.0004178955453034705
graph_top_score,0.002363500689866238,0.0006161159752386958
anchor_bayes_rank,0.0014508953659153057,4.8125080265692954e-05
bayes_margin,0.0013598362946578568,0.0003693217820520678
graph_margin,0.0011236409368821088,0.0021413426857552764
all_heads_anchor,0.0006027115950081319,0.0003295970059193909
anchor_mlp_rank,0.00036332483985201947,0.00046773508308328715
pair_coverage,-0.00022337770377850452,0.0012743552651763301
request_count,-0.002391390952956929,0.006034055373715819
graph_bayes_agree,-0.0043218852968534005,0.001007575753517398
