variant_name,source_run,family,is_oracle,num_cases,accuracy,top3_accuracy,top5_accuracy,macro_f1,mean_requests,median_requests,changed_predictions,correct_count,regressions_vs_notebook13,improvements_vs_notebook13,would_continue_unobserved_count,unsafe_stop_cases_flagged,evaluable_accuracy,usable_for_live_candidate,is_pareto
oracle_top3_upper_bound_notebook20,notebook20,oracle_upper_bound,True,24,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9444444444444443,6.125,4.0,3,23,0.0,1.0,,,,False,True
oracle_top5_upper_bound_notebook20,notebook20,oracle_upper_bound,True,24,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9444444444444443,6.125,4.0,3,23,0.0,1.0,,,,False,True
reference_notebook13,notebook13,reference,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0.0,0.0,,,,True,False
graph_adjudicator_notebook13_rank2_tc1.0_cms0.5_delta0.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0.0,0.0,,,,True,False
graph_adjudicator_notebook13_rank2_tc1.0_cms0.5_delta1.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0.0,0.0,,,,True,False
graph_adjudicator_notebook13_rank2_tc1.0_cms0.5_delta1.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0.0,0.0,,,,True,False
graph_adjudicator_notebook13_rank2_tc1.0_cms0.5_delta2.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0.0,0.0,,,,True,False
graph_adjudicator_notebook13_rank2_tc1.0_cms1.0_delta0.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0.0,0.0,,,,True,False
graph_adjudicator_notebook13_rank2_tc1.0_cms1.0_delta1.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0.0,0.0,,,,True,False
graph_adjudicator_notebook13_rank2_tc1.0_cms1.0_delta1.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0.0,0.0,,,,True,False
graph_adjudicator_notebook13_rank2_tc1.0_cms1.0_delta2.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0.0,0.0,,,,True,False
graph_adjudicator_notebook13_rank2_tc1.0_cms2.0_delta0.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0.0,0.0,,,,True,False
graph_adjudicator_notebook13_rank2_tc1.0_cms2.0_delta1.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0.0,0.0,,,,True,False
graph_adjudicator_notebook13_rank2_tc1.0_cms2.0_delta1.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0.0,0.0,,,,True,False
graph_adjudicator_notebook13_rank2_tc1.0_cms2.0_delta2.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0.0,0.0,,,,True,False
graph_adjudicator_notebook13_rank2_tc2.0_cms0.5_delta0.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0.0,0.0,,,,True,False
