source_node,target_node,root_evidence_id,outcome_state,pathology,edge_type,p_outcome_given_pathology,p_outcome_given_not_pathology,log_odds_support,global_mi_norm
OUTCOME:E_91:absent,PATHOLOGY:Acute COPD exacerbation / infection,E_91,absent,Acute COPD exacerbation / infection,ASSOCIATED_WITH,0.9999433844760234,0.7854878698497831,0.24139364659058296,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Acute dystonic reactions,E_91,absent,Acute dystonic reactions,ASSOCIATED_WITH,0.9999615147783252,0.7837022394465107,0.24368764115887584,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Acute laryngitis,E_91,absent,Acute laryngitis,ASSOCIATED_WITH,0.4507894409680494,0.7973349309768092,-0.5702744701531871,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Acute otitis media,E_91,absent,Acute otitis media,ASSOCIATED_WITH,0.43535630232647865,0.7983548850790297,-0.6063884340627936,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Acute pulmonary edema,E_91,absent,Acute pulmonary edema,ASSOCIATED_WITH,0.9999474237644584,0.785198681483748,0.24176591790072333,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Acute rhinosinusitis,E_91,absent,Acute rhinosinusitis,ASSOCIATED_WITH,0.6455081001472754,0.7911091217024069,-0.20339815323130286,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Allergic sinusitis,E_91,absent,Allergic sinusitis,ASSOCIATED_WITH,0.9999618393436367,0.7836544089909856,0.24374899901265362,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Anaphylaxis,E_91,absent,Anaphylaxis,ASSOCIATED_WITH,0.9999639249639249,0.783325951060542,0.2441703087711148,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Anemia,E_91,absent,Anemia,ASSOCIATED_WITH,0.9999802632877415,0.7782261249165332,0.2507184108490243,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Atrial fibrillation,E_91,absent,Atrial fibrillation,ASSOCIATED_WITH,0.9999524669645403,0.7847671835057457,0.242320652270663,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Boerhaave,E_91,absent,Boerhaave,ASSOCIATED_WITH,0.9999336957963135,0.7860357596652826,0.24068668515642636,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Bronchiectasis,E_91,absent,Bronchiectasis,ASSOCIATED_WITH,0.99994680002128,0.7852462582277274,0.241704703978756,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Bronchiolitis,E_91,absent,Bronchiolitis,ASSOCIATED_WITH,0.011406844106463879,0.7893807243039647,-4.237035122897616,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Bronchitis,E_91,absent,Bronchitis,ASSOCIATED_WITH,0.464396636618438,0.7977630193634133,-0.5410725768560963,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Bronchospasm / acute asthma exacerbation,E_91,absent,Bronchospasm / acute asthma exacerbation,ASSOCIATED_WITH,0.9999496905971726,0.7850156453676885,0.24200132005144026,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Chagas,E_91,absent,Chagas,ASSOCIATED_WITH,0.39377566457748003,0.7927814379270174,-0.6997662002574783,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Chronic rhinosinusitis,E_91,absent,Chronic rhinosinusitis,ASSOCIATED_WITH,0.99995141149604,0.7848650531081316,0.24219489288755486,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Cluster headache,E_91,absent,Cluster headache,ASSOCIATED_WITH,0.9999519369412669,0.7848168789808917,0.24225679910826042,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Croup,E_91,absent,Croup,ASSOCIATED_WITH,0.40889978976874564,0.7902424048058572,-0.6588696255091712,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Ebola,E_91,absent,Ebola,ASSOCIATED_WITH,0.5013888888888889,0.7893834045932914,-0.45387011416457257,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Epiglottitis,E_91,absent,Epiglottitis,ASSOCIATED_WITH,0.3172970774504677,0.7972352104086197,-0.9213112651990498,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:GERD,E_91,absent,GERD,ASSOCIATED_WITH,0.9999615103344752,0.7837028885832187,0.24368680842012058,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Guillain-Barré syndrome,E_91,absent,Guillain-Barré syndrome,ASSOCIATED_WITH,0.9999562726835454,0.784374167902451,0.24282538895666814,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:HIV (initial infection),E_91,absent,HIV (initial infection),ASSOCIATED_WITH,0.1589522660692745,0.8075298693245273,-1.625376095489048,0.13979990189302677
OUTCOME:E_91:absent,PATHOLOGY:Influenza,E_91,absent,Influenza,ASSOCIATED_WITH,0.2001193406429477,0.8049954344848577,-1.3919227103941239,0.13979990189302677
