pathology,prior
Spontaneous pneumothorax,0.009908828636641508
Cluster headache,0.020284677731509063
Boerhaave,0.01470383200523375
Spontaneous rib fracture,0.005570120830574923
GERD,0.025330253663283123
HIV (initial infection),0.02828837489555414
Anemia,0.049398869595993176
Viral pharyngitis,0.060101340514463496
Inguinal hernia,0.019729908126643467
Myasthenia gravis,0.018102648951738944
Whooping cough,0.005919167436096684
Anaphylaxis,0.027025762174462852
Epiglottitis,0.01677958681851819
Guillain-Barré syndrome,0.022296083170591167
Acute laryngitis,0.023526521204581284
Croup,0.002781647948473701
PSVT,0.018312271913155643
Atrial fibrillation,0.020510875531735456
Bronchiectasis,0.018325921780410686
Allergic sinusitis,0.02554865153936378
Chagas,0.009021587265063847
Scombroid food poisoning,0.01807242424567421
Myocarditis,0.010797044998737387
Larygospasm,0.010723920709871097
Acute dystonic reactions,0.025333178634837777
Localized edema,0.027130086159912095
SLE,0.011571187470201852
Tuberculosis,0.0158396959589568
Unstable angina,0.020713673559524633
Stable angina,0.016570938847619707
Ebola,0.0007010181825981742
Acute otitis media,0.025269804251153657
Panic attack,0.0243942627657946
Bronchospasm / acute asthma exacerbation,0.019378911540085274
Bronchitis,0.02574072467145257
Acute COPD exacerbation / infection,0.01722028253275237
Pulmonary embolism,0.026782014544908552
URTI,0.06275916466712361
Influenza,0.02614242076495806
Pneumonia,0.025117705730311773
Acute rhinosinusitis,0.0132393962468715
Chronic rhinosinusitis,0.020065304864910188
Bronchiolitis,0.0002554475157729091
Pulmonary neoplasm,0.014096412912384428
Possible NSTEMI / STEMI,0.02072927340781611
Sarcoidosis,0.02075364817077154
Pancreatic neoplasm,0.018375646296839764
Acute pulmonary edema,0.018543344665973124
Pericarditis,0.022216133948097353
