policy_name,dataset_name,budget,num_workups,top1,top3,top5,wins_vs_current,regressions_vs_current,changed_predictions
calibrated_logistic_pool_resolver_v1,ALL,-1,90,0.8666666666666667,0.8888888888888888,0.9,5,0,7
calibrated_logistic_pool_resolver_v1,ddxplus,5,10,0.8,0.8,0.9,2,0,3
calibrated_logistic_pool_resolver_v1,ddxplus,10,10,0.9,0.9,0.9,2,0,2
calibrated_logistic_pool_resolver_v1,ddxplus,15,10,0.9,0.9,0.9,1,0,2
calibrated_logistic_pool_resolver_v1,icraft_md,5,10,0.9,1.0,1.0,0,0,0
calibrated_logistic_pool_resolver_v1,icraft_md,10,10,1.0,1.0,1.0,0,0,0
calibrated_logistic_pool_resolver_v1,icraft_md,15,10,0.9,1.0,1.0,0,0,0
calibrated_logistic_pool_resolver_v1,rarebench,5,10,0.8,0.8,0.8,0,0,0
calibrated_logistic_pool_resolver_v1,rarebench,10,10,0.8,0.8,0.8,0,0,0
calibrated_logistic_pool_resolver_v1,rarebench,15,10,0.8,0.8,0.8,0,0,0
case_blocked_logistic_learned_top1_diagnostic,ALL,-1,90,0.8666666666666667,0.8888888888888888,0.9,5,0,8
case_blocked_logistic_learned_top1_diagnostic,ddxplus,5,10,0.8,0.8,0.9,2,0,4
case_blocked_logistic_learned_top1_diagnostic,ddxplus,10,10,0.9,0.9,0.9,2,0,2
case_blocked_logistic_learned_top1_diagnostic,ddxplus,15,10,0.9,0.9,0.9,1,0,2
case_blocked_logistic_learned_top1_diagnostic,icraft_md,5,10,0.9,1.0,1.0,0,0,0
case_blocked_logistic_learned_top1_diagnostic,icraft_md,10,10,1.0,1.0,1.0,0,0,0
case_blocked_logistic_learned_top1_diagnostic,icraft_md,15,10,0.9,1.0,1.0,0,0,0
case_blocked_logistic_learned_top1_diagnostic,rarebench,5,10,0.8,0.8,0.8,0,0,0
case_blocked_logistic_learned_top1_diagnostic,rarebench,10,10,0.8,0.8,0.8,0,0,0
case_blocked_logistic_learned_top1_diagnostic,rarebench,15,10,0.8,0.8,0.8,0,0,0
notebook46_current,ALL,-1,90,0.8111111111111111,0.8555555555555555,0.8555555555555555,0,0,0
notebook46_current,ddxplus,5,10,0.6,0.6,0.6,0,0,0
notebook46_current,ddxplus,10,10,0.7,0.8,0.8,0,0,0
notebook46_current,ddxplus,15,10,0.8,0.9,0.9,0,0,0
notebook46_current,icraft_md,5,10,0.9,1.0,1.0,0,0,0
notebook46_current,icraft_md,10,10,1.0,1.0,1.0,0,0,0
notebook46_current,icraft_md,15,10,0.9,1.0,1.0,0,0,0
notebook46_current,rarebench,5,10,0.8,0.8,0.8,0,0,0
notebook46_current,rarebench,10,10,0.8,0.8,0.8,0,0,0
notebook46_current,rarebench,15,10,0.8,0.8,0.8,0,0,0
notebook48_conservative_pool_educator,ddxplus,5,10,0.6,0.6,0.6,0,0,0
notebook48_conservative_pool_educator,ddxplus,10,10,0.8,0.8,0.8,1,0,1
notebook48_conservative_pool_educator,ddxplus,15,10,0.9,0.9,0.9,1,0,1
notebook48_conservative_pool_educator,icraft_md,5,10,0.9,1.0,1.0,0,0,0
notebook48_conservative_pool_educator,icraft_md,10,10,1.0,1.0,1.0,0,0,0
notebook48_conservative_pool_educator,icraft_md,15,10,0.9,1.0,1.0,0,0,0
