threshold,tp,fp,fn,tn,precision,recall,branch_rate,validation_objective
0.05,879,665,0,456,0.569300518134715,1.0,0.772,0.5461457627118644
0.075,878,458,1,663,0.657185628742515,0.9988623435722411,0.668,0.6794676959362019
0.1,878,380,1,741,0.6979332273449921,0.9988623435722411,0.629,0.7301242079790209
0.125,878,340,1,781,0.7208538587848933,0.9988623435722411,0.609,0.7561019064625177
0.15,875,323,4,798,0.7303839732888147,0.9954493742889647,0.599,0.7638044590347274
0.175,872,311,7,810,0.7371090448013525,0.9920364050056882,0.5915,0.7682597992965
0.2,867,300,12,821,0.7429305912596401,0.9863481228668942,0.5835,0.7698403842406677
0.22499999999999998,866,290,13,831,0.7491349480968859,0.9852104664391353,0.578,0.7752221524337829
0.25,863,279,16,842,0.7556917688266199,0.981797497155859,0.571,0.7790280502334682
0.27499999999999997,856,266,23,855,0.7629233511586453,0.9738339021615472,0.561,0.7796822072462929
0.3,848,255,31,866,0.7688123300090662,0.9647326507394767,0.5515,0.7779248229071841
0.32499999999999996,842,236,37,885,0.7810760667903525,0.9579067121729238,0.539,0.7835882911202922
0.35,835,228,44,893,0.7855126999059266,0.949943117178612,0.5315,0.7809952358226798
0.37499999999999994,829,217,50,904,0.7925430210325047,0.9431171786120591,0.523,0.7814631643390886
0.39999999999999997,820,202,59,919,0.8023483365949119,0.9328782707622298,0.511,0.7811908934205707
0.42499999999999993,811,196,68,925,0.8053624627606752,0.9226393629124005,0.5035,0.7750736403432659
0.44999999999999996,804,190,75,931,0.8088531187122736,0.9146757679180887,0.497,0.7711817001214785
0.475,799,180,80,941,0.8161389172625128,0.9089874857792947,0.4895,0.7721128426035587
0.49999999999999994,789,175,90,946,0.8184647302904564,0.8976109215017065,0.482,0.7642334906364077
0.525,776,164,103,957,0.825531914893617,0.8828213879408419,0.47,0.7569128241585047
0.5499999999999999,766,152,113,969,0.8344226579520697,0.8714448236632537,0.459,0.7535795694259656
0.575,752,135,127,986,0.8478015783540023,0.8555176336746303,0.4435,0.7490429012928284
0.6,740,127,139,994,0.8535178777393311,0.8418657565415245,0.4335,0.7408865638564219
0.625,720,120,159,1001,0.8571428571428571,0.8191126279863481,0.42,0.7231795325358574
0.65,704,100,175,1021,0.8756218905472637,0.800910125142207,0.402,0.7183658789334648
0.675,689,90,190,1031,0.8844672657252889,0.7838452787258248,0.3895,0.7081704571379568
0.7,674,84,205,1037,0.8891820580474934,0.7667804323094426,0.379,0.6953772654940992
0.725,653,75,226,1046,0.896978021978022,0.7428896473265074,0.364,0.6778564626699508
0.75,617,64,262,1057,0.9060205580029369,0.70193401592719,0.3405,0.644944698353595
0.775,585,58,294,1063,0.9097978227060654,0.6655290102389079,0.3215,0.6132363474378374
0.7999999999999999,539,46,340,1075,0.9213675213675213,0.6131968145620023,0.2925,0.5698474613059809
0.825,503,38,376,1083,0.9297597042513863,0.5722411831626849,0.2705,0.5349873696033629
0.85,456,27,423,1094,0.9440993788819876,0.5187713310580204,0.2415,0.48983638458166007
0.875,379,17,500,1104,0.9570707070707071,0.4311717861205916,0.198,0.4106562642651054
0.9,300,8,579,1113,0.974025974025974,0.3412969283276451,0.154,0.32860138863094573
0.9249999999999999,235,4,644,1117,0.9832635983263598,0.267349260523322,0.1195,0.25887649067497226
0.95,188,1,691,1120,0.9947089947089947,0.21387940841865757,0.0945,0.20852996595657014
