policy_name,claim_type,cohort,n_cases,correct,accuracy,candidate_pool_recall_correct,candidate_pool_recall,top3_accuracy,top5_accuracy
synthetic_logistic_group_softmax,synthetic_only_transfer,nb33_49,49,45,0.9183673469387755,49,1.0,0.9795918367346939,0.9795918367346939
synthetic_logistic_group_softmax,synthetic_only_transfer,nb37_98,98,88,0.8979591836734694,92,0.9387755102040817,0.9387755102040817,0.9387755102040817
synthetic_logistic_group_softmax,synthetic_only_transfer,nb38_196,196,182,0.9285714285714286,194,0.9897959183673469,0.9897959183673469,0.9897959183673469
synthetic_logistic_group_softmax,synthetic_only_transfer,pooled_343,343,315,0.9183673469387755,335,0.9766763848396501,0.9737609329446064,0.9737609329446064
synthetic_hist_gradient_boosting_group_softmax,synthetic_only_transfer,nb33_49,49,45,0.9183673469387755,49,1.0,0.9591836734693877,1.0
synthetic_hist_gradient_boosting_group_softmax,synthetic_only_transfer,nb37_98,98,87,0.8877551020408163,92,0.9387755102040817,0.9387755102040817,0.9387755102040817
synthetic_hist_gradient_boosting_group_softmax,synthetic_only_transfer,nb38_196,196,183,0.9336734693877551,194,0.9897959183673469,0.9897959183673469,0.9897959183673469
synthetic_hist_gradient_boosting_group_softmax,synthetic_only_transfer,pooled_343,343,315,0.9183673469387755,335,0.9766763848396501,0.9708454810495627,0.9766763848396501
synthetic_listwise_mlp,synthetic_only_transfer,nb33_49,49,44,0.8979591836734694,49,1.0,0.9795918367346939,0.9795918367346939
synthetic_listwise_mlp,synthetic_only_transfer,nb37_98,98,83,0.8469387755102041,92,0.9387755102040817,0.9285714285714286,0.9387755102040817
synthetic_listwise_mlp,synthetic_only_transfer,nb38_196,196,180,0.9183673469387755,194,0.9897959183673469,0.9693877551020408,0.9795918367346939
synthetic_listwise_mlp,synthetic_only_transfer,pooled_343,343,307,0.8950437317784257,335,0.9766763848396501,0.9591836734693877,0.967930029154519
synthetic_pairwise_bradley_terry,synthetic_only_transfer,nb33_49,49,45,0.9183673469387755,49,1.0,0.9795918367346939,0.9795918367346939
synthetic_pairwise_bradley_terry,synthetic_only_transfer,nb37_98,98,87,0.8877551020408163,92,0.9387755102040817,0.9387755102040817,0.9387755102040817
synthetic_pairwise_bradley_terry,synthetic_only_transfer,nb38_196,196,182,0.9285714285714286,194,0.9897959183673469,0.9897959183673469,0.9897959183673469
synthetic_pairwise_bradley_terry,synthetic_only_transfer,pooled_343,343,314,0.9154518950437318,335,0.9766763848396501,0.9737609329446064,0.9737609329446064
