dataset_name,budget,split,failure_type,num_workups
ddxplus,5,test,already_correct,1
ddxplus,5,test,resolver_failure_truth_already_in_current_pool,1
ddxplus,5,train,already_correct,6
ddxplus,5,validate,already_correct,2
ddxplus,10,test,already_correct,1
ddxplus,10,test,resolver_failure_truth_already_in_current_pool,1
ddxplus,10,train,already_correct,6
ddxplus,10,validate,already_correct,2
ddxplus,15,test,already_correct,1
ddxplus,15,test,resolver_failure_truth_already_in_current_pool,1
ddxplus,15,train,already_correct,6
ddxplus,15,validate,already_correct,2
icraft_md,5,test,already_correct,2
icraft_md,5,train,already_correct,4
icraft_md,5,train,resolver_failure_truth_already_in_current_pool,2
icraft_md,5,validate,already_correct,2
icraft_md,10,test,already_correct,1
icraft_md,10,test,resolver_failure_truth_already_in_current_pool,1
icraft_md,10,train,already_correct,4
icraft_md,10,train,resolver_failure_truth_already_in_current_pool,2
icraft_md,10,validate,already_correct,2
icraft_md,15,test,already_correct,1
icraft_md,15,test,resolver_failure_truth_already_in_current_pool,1
icraft_md,15,train,already_correct,4
icraft_md,15,train,resolver_failure_truth_already_in_current_pool,2
icraft_md,15,validate,already_correct,2
rarebench,5,test,already_correct,1
rarebench,5,test,resolver_failure_truth_already_in_current_pool,1
rarebench,5,train,already_correct,2
rarebench,5,train,candidate_pool_recovered_truth,1
rarebench,5,train,remaining_pool_miss,2
rarebench,5,train,resolver_failure_truth_already_in_current_pool,1
rarebench,5,validate,already_correct,1
rarebench,5,validate,resolver_failure_truth_already_in_current_pool,1
rarebench,10,test,already_correct,1
rarebench,10,test,resolver_failure_truth_already_in_current_pool,1
rarebench,10,train,already_correct,1
rarebench,10,train,remaining_pool_miss,2
rarebench,10,train,resolver_failure_truth_already_in_current_pool,3
rarebench,10,validate,already_correct,1
rarebench,10,validate,resolver_failure_truth_already_in_current_pool,1
rarebench,15,test,already_correct,1
rarebench,15,test,resolver_failure_truth_already_in_current_pool,1
rarebench,15,train,already_correct,1
rarebench,15,train,candidate_pool_recovered_truth,1
rarebench,15,train,remaining_pool_miss,2
rarebench,15,train,resolver_failure_truth_already_in_current_pool,2
rarebench,15,validate,already_correct,2
