policy_family,uses_mlp_signal,final_head,best_accuracy,best_top5,min_requests,median_requests
conservative_hybrid_stop,True,agreement_hybrid_final,0.9166666666666666,0.9166666666666666,5.458333333333333,6.333333333333334
conservative_hybrid_stop,True,conservative_hybrid_final,0.9166666666666666,0.9166666666666666,5.458333333333333,6.333333333333334
conservative_hybrid_stop,True,llm_final,0.9166666666666666,0.9166666666666666,5.458333333333333,6.333333333333334
conservative_hybrid_stop,True,mlp_final,0.875,0.9583333333333334,5.458333333333333,6.333333333333334
deterministic_state,False,agreement_hybrid_final,0.9166666666666666,0.9583333333333334,3.7083333333333335,6.833333333333333
deterministic_state,False,conservative_hybrid_final,0.9166666666666666,0.9583333333333334,3.7083333333333335,6.833333333333333
deterministic_state,False,llm_final,0.9166666666666666,0.9583333333333334,3.7083333333333335,6.833333333333333
deterministic_state,False,mlp_final,0.9583333333333334,1.0,3.7083333333333335,6.833333333333333
llm_confidence,False,agreement_hybrid_final,0.9166666666666666,0.9166666666666666,1.7083333333333333,6.041666666666667
llm_confidence,False,conservative_hybrid_final,0.9166666666666666,0.9166666666666666,1.7083333333333333,6.041666666666667
llm_confidence,False,llm_final,0.9166666666666666,0.9166666666666666,1.7083333333333333,6.041666666666667
llm_confidence,False,mlp_final,0.9583333333333334,1.0,1.7083333333333333,6.041666666666667
llm_mlp_agreement,True,agreement_hybrid_final,0.9166666666666666,0.9166666666666666,5.291666666666667,6.125
llm_mlp_agreement,True,conservative_hybrid_final,0.9166666666666666,0.9166666666666666,5.291666666666667,6.125
llm_mlp_agreement,True,llm_final,0.9166666666666666,0.9166666666666666,5.291666666666667,6.125
llm_mlp_agreement,True,mlp_final,0.875,0.9583333333333334,5.291666666666667,6.125
marginal_value,False,agreement_hybrid_final,0.9166666666666666,0.9166666666666666,1.5833333333333333,9.0
marginal_value,False,conservative_hybrid_final,0.9166666666666666,0.9166666666666666,1.5833333333333333,9.0
marginal_value,False,llm_final,0.9166666666666666,0.9166666666666666,1.5833333333333333,9.0
marginal_value,False,mlp_final,0.9166666666666666,1.0,1.5833333333333333,9.0
mlp_confidence,True,agreement_hybrid_final,0.9166666666666666,0.9166666666666666,5.125,6.875
mlp_confidence,True,conservative_hybrid_final,0.9166666666666666,0.9166666666666666,5.125,6.875
mlp_confidence,True,llm_final,0.9166666666666666,0.9166666666666666,5.125,6.875
mlp_confidence,True,mlp_final,0.9166666666666666,0.9583333333333334,5.125,6.875
