cohort,dataset_name,budget,split,workups,current_top1,current_top3,current_top5,current_pool_recall,mean_pool_size,mean_questions
scale_meddx100,ddxplus,5,test,20,15,16,17,17,8.0,4.5
scale_meddx100,ddxplus,5,train,60,43,48,51,53,8.0,4.433333333333334
scale_meddx100,ddxplus,5,validate,20,14,16,17,17,8.0,4.3
scale_meddx100,ddxplus,10,test,20,17,18,18,18,8.0,7.85
scale_meddx100,ddxplus,10,train,60,43,48,50,52,8.0,7.666666666666667
scale_meddx100,ddxplus,10,validate,20,18,18,19,20,8.0,7.3
scale_meddx100,ddxplus,15,test,20,18,18,19,19,8.0,9.35
scale_meddx100,ddxplus,15,train,60,44,49,51,52,8.0,9.866666666666667
scale_meddx100,ddxplus,15,validate,20,17,18,19,19,8.0,9.5
scale_meddx100,icraft_md,5,test,20,19,20,20,20,4.0,3.2
scale_meddx100,icraft_md,5,train,60,55,60,60,60,4.0,3.0833333333333335
scale_meddx100,icraft_md,5,validate,20,19,20,20,20,4.0,3.05
scale_meddx100,icraft_md,10,test,20,19,20,20,20,4.0,4.2
scale_meddx100,icraft_md,10,train,60,56,60,60,60,4.0,4.116666666666666
scale_meddx100,icraft_md,10,validate,20,19,20,20,20,4.0,4.35
scale_meddx100,icraft_md,15,test,20,19,20,20,20,4.0,5.15
scale_meddx100,icraft_md,15,train,60,55,59,60,60,4.0,5.283333333333333
scale_meddx100,icraft_md,15,validate,20,19,20,20,20,4.0,5.2
scale_meddx100,rarebench,5,test,20,15,15,16,17,8.0,3.6
scale_meddx100,rarebench,5,train,60,42,46,48,50,8.0,3.466666666666667
scale_meddx100,rarebench,5,validate,20,13,14,14,15,8.0,3.6
scale_meddx100,rarebench,10,test,20,14,15,15,15,8.0,5.1
scale_meddx100,rarebench,10,train,60,41,46,46,49,8.0,5.133333333333334
scale_meddx100,rarebench,10,validate,20,14,14,14,15,8.0,5.4
scale_meddx100,rarebench,15,test,20,14,15,15,15,8.0,6.15
scale_meddx100,rarebench,15,train,60,41,47,48,51,8.0,6.266666666666667
scale_meddx100,rarebench,15,validate,20,12,13,14,15,8.0,6.2
