dataset_name,case_id,split
ddxplus,test:6687,train
ddxplus,test:30019,train
ddxplus,test:61929,train
ddxplus,test:84973,train
ddxplus,test:31616,train
ddxplus,test:32845,train
ddxplus,test:82573,train
ddxplus,test:50958,train
ddxplus,test:123921,train
ddxplus,test:55029,train
ddxplus,test:128336,train
ddxplus,test:16065,train
ddxplus,test:63286,train
ddxplus,test:29843,train
ddxplus,test:90737,train
ddxplus,test:53671,train
ddxplus,test:25839,train
ddxplus,test:53597,train
ddxplus,test:101299,train
ddxplus,test:53615,train
ddxplus,test:93489,train
ddxplus,test:68777,train
ddxplus,test:21549,train
ddxplus,test:43968,train
ddxplus,test:12095,train
ddxplus,test:131462,train
ddxplus,test:77547,train
ddxplus,test:64339,train
ddxplus,test:64224,train
ddxplus,test:35030,train
ddxplus,test:75422,train
ddxplus,test:77319,train
ddxplus,test:105429,train
ddxplus,test:37864,train
ddxplus,test:82999,train
ddxplus,test:19594,train
ddxplus,test:100977,train
ddxplus,test:85049,train
ddxplus,test:20706,train
ddxplus,test:111425,train
ddxplus,test:101855,train
ddxplus,test:116148,train
ddxplus,test:42352,train
ddxplus,test:31708,train
ddxplus,test:26095,train
ddxplus,test:70907,train
ddxplus,test:75364,train
ddxplus,test:116728,train
ddxplus,test:75853,train
ddxplus,test:106119,train
ddxplus,test:107429,train
ddxplus,test:110464,train
ddxplus,test:125620,train
ddxplus,test:46790,train
ddxplus,test:31233,train
ddxplus,test:80419,train
ddxplus,test:40061,train
ddxplus,test:84477,train
ddxplus,test:91755,train
ddxplus,test:2613,train
ddxplus,test:132165,validate
ddxplus,test:22785,validate
ddxplus,test:116274,validate
ddxplus,test:260,validate
ddxplus,test:76206,validate
ddxplus,test:92749,validate
ddxplus,test:17941,validate
ddxplus,test:130606,validate
ddxplus,test:13189,validate
ddxplus,test:67788,validate
ddxplus,test:31107,validate
ddxplus,test:107023,validate
ddxplus,test:82290,validate
ddxplus,test:105918,validate
ddxplus,test:74894,validate
ddxplus,test:29668,validate
ddxplus,test:114108,validate
ddxplus,test:88372,validate
ddxplus,test:133658,validate
ddxplus,test:68000,validate
ddxplus,test:88992,test
ddxplus,test:131977,test
ddxplus,test:121730,test
ddxplus,test:50247,test
ddxplus,test:12831,test
ddxplus,test:9155,test
ddxplus,test:76123,test
ddxplus,test:4863,test
ddxplus,test:67442,test
ddxplus,test:77917,test
ddxplus,test:30828,test
ddxplus,test:48513,test
ddxplus,test:5952,test
ddxplus,test:81042,test
ddxplus,test:122283,test
ddxplus,test:100261,test
ddxplus,test:1094,test
ddxplus,test:108479,test
ddxplus,test:43279,test
ddxplus,test:64475,test
icraft_md,icraft_md:5,train
icraft_md,icraft_md:104,train
icraft_md,icraft_md:1,train
icraft_md,icraft_md:9,train
icraft_md,icraft_md:93,train
icraft_md,icraft_md:116,train
icraft_md,icraft_md:110,train
icraft_md,icraft_md:2,train
icraft_md,icraft_md:130,train
icraft_md,icraft_md:101,train
icraft_md,icraft_md:78,train
icraft_md,icraft_md:32,train
icraft_md,icraft_md:49,train
icraft_md,icraft_md:45,train
icraft_md,icraft_md:63,train
icraft_md,icraft_md:42,train
icraft_md,icraft_md:61,train
icraft_md,icraft_md:21,train
icraft_md,icraft_md:14,train
icraft_md,icraft_md:48,train
icraft_md,icraft_md:18,train
icraft_md,icraft_md:81,train
icraft_md,icraft_md:79,train
icraft_md,icraft_md:82,train
icraft_md,icraft_md:40,train
icraft_md,icraft_md:39,train
icraft_md,icraft_md:106,train
icraft_md,icraft_md:105,train
icraft_md,icraft_md:100,train
icraft_md,icraft_md:15,train
icraft_md,icraft_md:44,train
icraft_md,icraft_md:74,train
icraft_md,icraft_md:10,train
icraft_md,icraft_md:99,train
icraft_md,icraft_md:96,train
icraft_md,icraft_md:94,train
icraft_md,icraft_md:107,train
icraft_md,icraft_md:86,train
icraft_md,icraft_md:92,train
icraft_md,icraft_md:123,train
icraft_md,icraft_md:11,train
icraft_md,icraft_md:127,train
icraft_md,icraft_md:136,train
icraft_md,icraft_md:119,train
icraft_md,icraft_md:122,train
icraft_md,icraft_md:133,train
icraft_md,icraft_md:129,train
icraft_md,icraft_md:50,train
icraft_md,icraft_md:37,train
icraft_md,icraft_md:33,train
icraft_md,icraft_md:66,train
icraft_md,icraft_md:67,train
icraft_md,icraft_md:115,train
icraft_md,icraft_md:102,train
icraft_md,icraft_md:138,train
icraft_md,icraft_md:72,train
icraft_md,icraft_md:36,train
icraft_md,icraft_md:59,train
icraft_md,icraft_md:125,train
icraft_md,icraft_md:17,train
icraft_md,icraft_md:137,validate
icraft_md,icraft_md:30,validate
icraft_md,icraft_md:117,validate
icraft_md,icraft_md:51,validate
icraft_md,icraft_md:68,validate
icraft_md,icraft_md:90,validate
icraft_md,icraft_md:12,validate
icraft_md,icraft_md:87,validate
icraft_md,icraft_md:73,validate
icraft_md,icraft_md:80,validate
icraft_md,icraft_md:113,validate
icraft_md,icraft_md:31,validate
icraft_md,icraft_md:41,validate
icraft_md,icraft_md:85,validate
icraft_md,icraft_md:84,validate
icraft_md,icraft_md:132,validate
icraft_md,icraft_md:124,validate
icraft_md,icraft_md:13,validate
icraft_md,icraft_md:58,validate
icraft_md,icraft_md:98,validate
icraft_md,icraft_md:34,test
icraft_md,icraft_md:114,test
icraft_md,icraft_md:24,test
icraft_md,icraft_md:65,test
icraft_md,icraft_md:60,test
icraft_md,icraft_md:128,test
icraft_md,icraft_md:56,test
icraft_md,icraft_md:47,test
icraft_md,icraft_md:38,test
icraft_md,icraft_md:95,test
icraft_md,icraft_md:131,test
icraft_md,icraft_md:4,test
icraft_md,icraft_md:16,test
icraft_md,icraft_md:121,test
icraft_md,icraft_md:46,test
icraft_md,icraft_md:120,test
icraft_md,icraft_md:76,test
icraft_md,icraft_md:88,test
icraft_md,icraft_md:126,test
icraft_md,icraft_md:52,test
rarebench,rarebench:RAMEDIS:404,train
rarebench,rarebench:LIRICAL:292,train
rarebench,rarebench:HMS:73,train
rarebench,rarebench:RAMEDIS:349,train
rarebench,rarebench:RAMEDIS:280,train
rarebench,rarebench:RAMEDIS:149,train
rarebench,rarebench:LIRICAL:256,train
rarebench,rarebench:RAMEDIS:89,train
rarebench,rarebench:LIRICAL:40,train
rarebench,rarebench:RAMEDIS:184,train
rarebench,rarebench:LIRICAL:307,train
rarebench,rarebench:LIRICAL:22,train
rarebench,rarebench:MME:15,train
rarebench,rarebench:RAMEDIS:37,train
rarebench,rarebench:LIRICAL:3,train
rarebench,rarebench:RAMEDIS:4,train
rarebench,rarebench:RAMEDIS:461,train
rarebench,rarebench:LIRICAL:77,train
rarebench,rarebench:MME:1,train
