cohort,policy_name,dataset_name,budget,split,num_workups,candidate_pool_recall_count,candidate_pool_recall,current_pool_recall_count,current_pool_recall,recoveries_vs_current_pool,lost_truth_vs_current_pool,mean_pool_size,median_pool_size,p90_pool_size,mean_pool_size_delta,mean_questions
scale_meddx100,current_pool,ALL,-1,ALL,900,809,0.8988888888888888,809,0.8988888888888888,0,0,6.666666666666667,8.0,8.0,0.0,5.4655555555555555
scale_meddx100,current_pool,ddxplus,5,ALL,100,87,0.87,87,0.87,0,0,8.0,8.0,8.0,0.0,4.42
scale_meddx100,current_pool,ddxplus,10,ALL,100,90,0.9,90,0.9,0,0,8.0,8.0,8.0,0.0,7.63
scale_meddx100,current_pool,ddxplus,15,ALL,100,90,0.9,90,0.9,0,0,8.0,8.0,8.0,0.0,9.69
scale_meddx100,current_pool,icraft_md,5,ALL,100,100,1.0,100,1.0,0,0,4.0,4.0,4.0,0.0,3.1
scale_meddx100,current_pool,icraft_md,10,ALL,100,100,1.0,100,1.0,0,0,4.0,4.0,4.0,0.0,4.18
scale_meddx100,current_pool,icraft_md,15,ALL,100,100,1.0,100,1.0,0,0,4.0,4.0,4.0,0.0,5.24
scale_meddx100,current_pool,rarebench,5,ALL,100,82,0.82,82,0.82,0,0,8.0,8.0,8.0,0.0,3.52
scale_meddx100,current_pool,rarebench,10,ALL,100,79,0.79,79,0.79,0,0,8.0,8.0,8.0,0.0,5.18
scale_meddx100,current_pool,rarebench,15,ALL,100,81,0.81,81,0.81,0,0,8.0,8.0,8.0,0.0,6.23
scale_meddx100,current_pool,ALL,-1,test,180,161,0.8944444444444445,161,0.8944444444444445,0,0,6.666666666666667,8.0,8.0,0.0,5.455555555555556
scale_meddx100,current_pool,ALL,-1,train,540,487,0.9018518518518519,487,0.9018518518518519,0,0,6.666666666666667,8.0,8.0,0.0,5.479629629629629
scale_meddx100,current_pool,ALL,-1,validate,180,161,0.8944444444444445,161,0.8944444444444445,0,0,6.666666666666667,8.0,8.0,0.0,5.433333333333334
scale_meddx100,current_pool,ddxplus,5,test,20,17,0.85,17,0.85,0,0,8.0,8.0,8.0,0.0,4.5
